step,total_loss,ce_loss,R,u_val
1000,8.484,7.521,0.0240,0.475
1500,7.991,6.910,0.0543,0.236
2000,7.780,6.670,0.0860,0.129
2500,7.785,6.664,0.1176,0.115
3000,7.748,6.606,0.1493,0.107
3500,7.779,6.683,0.1807,0.110
4000,7.790,6.661,0.2108,0.100
4500,7.667,6.536,0.2405,0.102
5000,7.760,6.620,0.2698,0.105
5500,7.619,6.483,0.2971,0.103
6000,7.570,6.434,0.3225,0.106
6500,7.889,6.767,0.3464,0.112
7000,7.640,6.501,0.3684,0.107
7500,7.559,6.414,0.3887,0.104
8000,7.497,6.356,0.4064,0.126
8500,7.486,6.341,0.4224,0.110
9000,7.490,6.358,0.4365,0.112
9500,7.608,6.479,0.4480,0.102
10000,7.628,6.500,0.4579,0.106
